"","name","price","year"
"213","Audi A5 ","1 195 000 руб","2013"
"214","Audi A5 1.8 CVT 170 л.с.","1 180 000 руб","2014"
"215","Audi A5 2.0 AT 211 л.с. 4WD","1 149 000 руб","2012"
"216","Audi A5 3.2 AMT 265 л.с. 4WD","1 139 000 руб","2009"
"217","Audi A5 2.0 AT 211 л.с. 4WD","1 114 000 руб","2011"
"218","Audi A5 ","1 045 000 руб","2013"
"219","Audi A5 ","1 045 000 руб","2013"
"220","Audi A5 ","1 040 000 руб","2012"
"221","Audi A5 ","1 039 000 руб","2011"
"222","Audi A5 ","999 000 руб","2015"
"223","Audi A5 ","990 000 руб","2012"
"224","Audi A5 ","900 000 руб","2012"
"225","Audi A5 ","899 000 руб","2008"
"226","Audi A5 ","889 000 руб","2012"
"227","Audi A5 2.0 CVT 180 л.с.","865 000 руб","2010"
"228","Audi A5 8T 2.0 TFSI MT (180 л.с.) ","850 000 руб","2011"
"229","Audi A5 ","850 000 руб","2011"
"230","Audi A5  ","830 000 руб","2009"
"231","Audi A5 ","694 300 руб","2009"
"232","Audi A5 ","690 000 руб","2009"
"233","Audi A5  ","535 000 руб","2008"
"234","Audi A5  ","490 000 руб","2007"
"235","Audi A6 ","2 700 000 руб","2017"
"236","Audi A6 ","2 622 000 руб","2017"
"237","Audi A6 ","2 440 000 руб","2017"
"238","Audi A6 ","2 330 000 руб","2017"
"239","Audi A6  ","2 300 000 руб","2017"
"240","Audi A6 ","2 259 000 руб","2017"
"241","Audi A6 ","2 259 000 руб","2017"
"242","Audi A6 ","2 259 000 руб","2017"
"243","Audi A6 ","2 259 000 руб","2017"
"244","Audi A6 ","2 259 000 руб","2017"
"245","Audi A6 ","2 245 000 руб","2016"
"246","Audi A6  ","2 200 000 руб","2017"
"247","Audi A6 ","2 200 000 руб","2016"
"248","Audi A6 ","2 200 000 руб","2017"
"249","Audi A6 ","1 850 000 руб","2015"
"250","Audi A6  ","1 850 000 руб","2015"
"251","Audi A6  Audi A6 C7 FL 2.8 FSI Q S-tronic","1 800 000 руб","2015"
"252","Audi A6  ","1 790 000 руб","2016"
"253","Audi A6 ","1 785 000 руб","2014"
"254","Audi A6 2.8 AT 220 л.с. 4WD","1 765 000 руб","2015"
"255","Audi A6 ","1 764 000 руб","2016"
"256","Audi A6 1.8 AT 190 л.с.","1 609 000 руб","2015"
"257","Audi A6 ","1 580 000 руб","2015"
"258","Audi A6 ","1 519 000 руб","2015"
"259","Audi A6 1.8 AMT 190 л.с.","1 399 000 руб","2015"
"260","Audi A6 ","1 286 000 руб","2014"
"261","Audi A6 ","1 220 000 руб","2014"
"262","Audi A6 4G/C7 3.0 TDI S-tronic quattro (245 л.с.) ","1 200 000 руб","2011"
